iter	Passed	Remaining
0	1	126
1	2	115
2	3	116
3	4	107
4	5	105
5	6	104
6	7	103
7	8	101
8	9	100
9	10	98
10	12	97
11	13	95
12	14	94
13	15	92
14	16	91
15	16	88
16	17	87
17	18	86
18	19	84
19	20	83
20	21	81
21	22	79
22	23	77
23	23	75
24	24	74
25	25	72
26	26	71
27	27	69
28	27	68
29	28	66
30	29	65
31	29	63
32	30	62
33	31	60
34	31	59
35	32	58
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
